basho,day,rikishi1_id,rikishi1_rank,rikishi1_shikona,rikishi1_result,rikishi1_win,kimarite,rikishi2_id,rikishi2_rank,rikishi2_shikona,rikishi2_result,rikishi2_win
2011.01,1,39,M9w,Wakanosato,1-0 (8-7),true,hatakikomi,842,M10e,Miyabiyama,0-1 (6-9),false
2011.01,1,842,M10e,Miyabiyama,0-1 (6-9),false,hatakikomi,39,M9w,Wakanosato,1-0 (8-7),true
2011.01,1,875,M9e,Takamisakari,1-0 (6-9),true,uwatenage,2818,M8w,Tokitenku,0-1 (6-9),false
2011.01,1,2818,M8w,Tokitenku,0-1 (6-9),false,uwatenage,875,M9e,Takamisakari,1-0 (6-9),true
2011.01,1,813,M8e,Kitataiki,1-0 (9-6),true,oshitaoshi,7115,M7w,Tosayutaka,0-1 (7-8),false
2011.01,1,7115,M7w,Tosayutaka,0-1 (7-8),false,oshitaoshi,813,M8e,Kitataiki,1-0 (9-6),true
2011.01,1,1284,M7e,Takekaze,0-1 (8-7),false,yoritaoshi,6572,M6w,Gagamaru,1-0 (5-10),true
2011.01,1,6572,M6w,Gagamaru,1-0 (5-10),true,yoritaoshi,1284,M7e,Takekaze,0-1 (8-7),false
2011.01,1,41,M6e,Kyokutenho,1-0 (7-8),true,yorikiri,1009,M5w,Asasekiryu,0-1 (6-9),false
2011.01,1,1009,M5w,Asasekiryu,0-1 (6-9),false,yorikiri,41,M6e,Kyokutenho,1-0 (7-8),true
2011.01,1,2930,M4w,Tokusegawa,1-0 (9-6),true,uwatenage,6468,M5e,Goeido,0-1 (11-4),false
2011.01,1,6468,M5e,Goeido,0-1 (11-4),false,uwatenage,2930,M4w,Tokusegawa,1-0 (9-6),true
2011.01,1,5944,M3w,Tamawashi,1-0 (5-10),true,hatakikomi,6018,M4e,Homasho,0-1 (8-7),false
2011.01,1,6018,M4e,Homasho,0-1 (8-7),false,hatakikomi,5944,M3w,Tamawashi,1-0 (5-10),true
2011.01,1,1226,S1w,Kotoshogiku,1-0 (11-4),true,yorikiri,6771,M3e,Aran,0-1 (5-10),false
2011.01,1,6771,M3e,Aran,0-1 (5-10),false,yorikiri,1226,S1w,Kotoshogiku,1-0 (11-4),true
2011.01,1,1235,S1e,Kisenosato,1-0 (10-5),true,tsukidashi,5967,M2w,Yoshikaze,0-1 (4-11),false
2011.01,1,5967,M2w,Yoshikaze,0-1 (4-11),false,tsukidashi,1235,S1e,Kisenosato,1-0 (10-5),true
2011.01,1,1111,O2w,Harumafuji,1-0 (8-7),true,yorikiri,6599,M2e,Tochinoshin,0-1 (4-11),false
2011.01,1,6599,M2e,Tochinoshin,0-1 (4-11),false,yorikiri,1111,O2w,Harumafuji,1-0 (8-7),true
2011.01,1,89,M1w,Aminishiki,0-1 (6-9),false,oshidashi,2830,O2e,Kotooshu,1-0 (10-5),true
2011.01,1,2830,O2e,Kotooshu,1-0 (10-5),true,oshidashi,89,M1w,Aminishiki,0-1 (6-9),false
2011.01,1,1227,M1e,Toyonoshima,1-0 (8-7),true,hikiotoshi,6432,O1w,Baruto,0-1 (9-6),false
2011.01,1,6432,O1w,Baruto,0-1 (9-6),false,hikiotoshi,1227,M1e,Toyonoshima,1-0 (8-7),true
2011.01,1,7,O1e,Kaio,1-0 (9-6),true,hatakikomi,6473,K1e,Tochiozan,0-1 (6-9),false
2011.01,1,6473,K1e,Tochiozan,0-1 (6-9),false,hatakikomi,7,O1e,Kaio,1-0 (9-6),true
2011.01,1,1123,Y1e,Hakuho,1-0 (14-1),true,oshidashi,1219,K1w,Kakuryu,0-1 (8-7),false
2011.01,1,1219,K1w,Kakuryu,0-1 (8-7),false,oshidashi,1123,Y1e,Hakuho,1-0 (14-1),true
2011.01,2,1134,J14e,Tsurugidake,2-0 (7-8),true,tsukiotoshi,1241,Ms2e,Kitaharima,1-1 (3-4),false
2011.01,2,1241,Ms2e,Kitaharima,1-1 (3-4),false,tsukiotoshi,1134,J14e,Tsurugidake,2-0 (7-8),true
2011.01,2,2851,J13w,Fujiazuma,0-2 (8-7),false,uwatenage,6654,J14w,Masunoyama,2-0 (8-5-2),true
2011.01,2,6654,J14w,Masunoyama,2-0 (8-5-2),true,uwatenage,2851,J13w,Fujiazuma,0-2 (8-7),false
2011.01,2,898,J13e,Chiyohakuho,2-0 (7-8),true,tsukiotoshi,6766,J11e,Kiyoseumi,0-2 (7-8),false
2011.01,2,6766,J11e,Kiyoseumi,0-2 (7-8),false,tsukiotoshi,898,J13e,Chiyohakuho,2-0 (7-8),true
2011.01,2,296,J11w,Yoshiazuma,1-1 (6-9),false,oshidashi,1266,J12w,Nionoumi,1-1 (5-10),true
2011.01,2,1266,J12w,Nionoumi,1-1 (5-10),true,oshidashi,296,J11w,Yoshiazuma,1-1 (6-9),false
2011.01,2,1032,J10e,Hochiyama,0-2 (7-8),false,tottari,2831,J9e,Hoshikaze,2-0 (9-6),true
2011.01,2,2831,J9e,Hoshikaze,2-0 (9-6),true,tottari,1032,J10e,Hochiyama,0-2 (7-8),false
2011.01,2,1204,J9w,Kakizoe,1-1 (4-11),true,oshidashi,8900,J10w,Akiseyama,1-1 (8-7),false
2011.01,2,8900,J10w,Akiseyama,1-1 (8-7),false,oshidashi,1204,J9w,Kakizoe,1-1 (4-11),true
2011.01,2,2879,J7e,Sadanoumi,2-0 (7-8),true,yoritaoshi,6497,J8w,Daido,1-1 (9-6),false
2011.01,2,6497,J8w,Daido,1-1 (9-6),false,yoritaoshi,2879,J7e,Sadanoumi,2-0 (7-8),true
2011.01,2,113,J8e,Asofuji,0-2 (8-7),false,tsukidashi,2842,J7w,Sadanofuji,1-1 (6-9),true
2011.01,2,2842,J7w,Sadanofuji,1-1 (6-9),true,tsukidashi,113,J8e,Asofuji,0-2 (8-7),false
2011.01,2,152,J6e,Tamanoshima,1-1 (9-6),false,yorikiri,11728,J5e,Takarafuji,1-1 (8-7),true
2011.01,2,11728,J5e,Takarafuji,1-1 (8-7),true,yorikiri,152,J6e,Tamanoshima,1-1 (9-6),false
2011.01,2,226,J6w,Wakatenro,1-1 (5-10),true,hikiotoshi,2835,J5w,Shironoryu,1-1 (4-7-4),false
2011.01,2,2835,J5w,Shironoryu,1-1 (4-7-4),false,hikiotoshi,226,J6w,Wakatenro,1-1 (5-10),true
2011.01,2,864,J4e,Bushuyama,1-1 (8-7),true,tsukiotoshi,6480,J3e,Takayasu,1-1 (9-6),false
2011.01,2,6480,J3e,Takayasu,1-1 (9-6),false,tsukiotoshi,864,J4e,Bushuyama,1-1 (8-7),true
2011.01,2,2847,J4w,Masatsukasa,1-1 (8-7),false,uwatenage,6620,J3w,Sakaizawa,1-1 (7-8),true
2011.01,2,6620,J3w,Sakaizawa,1-1 (7-8),true,uwatenage,2847,J4w,Masatsukasa,1-1 (8-7),false
2011.01,2,865,J2e,Kasugao,2-0 (12-3),true,uwatenage,6753,J1e,Kaisei,0-2 (8-7),false
2011.01,2,6753,J1e,Kaisei,0-2 (8-7),false,uwatenage,865,J2e,Kasugao,2-0 (12-3),true
2011.01,2,371,J1w,Kyokunankai,1-1 (5-10),false,oshidashi,6767,J2w,Tochinowaka,1-1 (12-3),true
2011.01,2,6767,J2w,Tochinowaka,1-1 (12-3),true,oshidashi,371,J1w,Kyokunankai,1-1 (5-10),false
2011.01,2,78,M17e,Toyozakura,0-2 (5-10),false,oshidashi,4980,M16e,Sokokurai,2-0 (8-7),true
2011.01,2,4980,M16e,Sokokurai,2-0 (8-7),true,oshidashi,78,M17e,Toyozakura,0-2 (5-10),false
2011.01,2,10,M16w,Tochinonada,2-0 (9-6),true,oshitaoshi,1187,M15e,Kokkai,0-2 (3-12),false
2011.01,2,1187,M15e,Kokkai,0-2 (3-12),false,oshitaoshi,10,M16w,Tochinonada,2-0 (9-6),true
2011.01,2,6010,M14w,Kimurayama,1-1 (6-9),false,oshidashi,6467,M15w,Toyohibiki,1-1 (9-6),true
2011.01,2,6467,M15w,Toyohibiki,1-1 (9-6),true,oshidashi,6010,M14w,Kimurayama,1-1 (6-9),false
2011.01,2,900,M14e,Wakakoyu,2-0 (9-6),true,hatakikomi,6463,M13e,Okinoumi,1-1 (11-4),false
2011.01,2,6463,M13e,Okinoumi,1-1 (11-4),false,hatakikomi,900,M14e,Wakakoyu,2-0 (9-6),true
2011.01,2,206,M13w,Kotokasuga,0-2 (8-7),false,tsuridashi,1136,M12w,Mokonami,1-1 (8-7),true
2011.01,2,1136,M12w,Mokonami,1-1 (8-7),true,tsuridashi,206,M13w,Kotokasuga,0-2 (8-7),false
2011.01,2,1106,M12e,Koryu,1-1 (8-7),true,hatakikomi,1141,M11e,Shotenro,1-1 (8-7),false
