basho,day,rikishi1_id,rikishi1_rank,rikishi1_shikona,rikishi1_result,rikishi1_win,kimarite,rikishi2_id,rikishi2_rank,rikishi2_shikona,rikishi2_result,rikishi2_win
2012.01,1,2835,J14w,Shironoryu,0-1 (5-10),false,isamiashi,8904,J14e,Homarefuji,1-0 (6-9),true
2012.01,1,8904,J14e,Homarefuji,1-0 (6-9),true,isamiashi,2835,J14w,Shironoryu,0-1 (5-10),false
2012.01,1,1241,J13e,Kitaharima,0-1 (8-7),false,hatakikomi,11934,J13w,Chiyotairyu,1-0 (13-2),true
2012.01,1,11934,J13w,Chiyotairyu,1-0 (13-2),true,hatakikomi,1241,J13e,Kitaharima,0-1 (8-7),false
2012.01,1,6552,J12e,Sotairyu,1-0 (10-5),true,oshidashi,7121,J12w,Tokushinho,0-1 (8-7),false
2012.01,1,7121,J12w,Tokushinho,0-1 (8-7),false,oshidashi,6552,J12e,Sotairyu,1-0 (10-5),true
2012.01,1,1127,J11e,Hokutokuni,0-1 (7-7-1),false,okuridashi,1405,J11w,Amuru,1-0 (10-3-2),true
2012.01,1,1405,J11w,Amuru,1-0 (10-3-2),true,okuridashi,1127,J11e,Hokutokuni,0-1 (7-7-1),false
2012.01,1,6042,J10w,Masuraumi,0-1 (6-9),false,oshidashi,6531,J10e,Asahisho,1-0 (9-6),true
2012.01,1,6531,J10e,Asahisho,1-0 (9-6),true,oshidashi,6042,J10w,Masuraumi,0-1 (6-9),false
2012.01,1,5988,J9w,Oiwato,0-1 (6-9),false,hikiotoshi,11729,J9e,Kimikaze,1-0 (8-7),true
2012.01,1,11729,J9e,Kimikaze,1-0 (8-7),true,hikiotoshi,5988,J9w,Oiwato,0-1 (6-9),false
2012.01,1,10,J8e,Tochinonada,1-0 (3-12),true,yorikiri,795,J8w,Tamaasuka,0-1 (8-7),false
2012.01,1,795,J8w,Tamaasuka,0-1 (8-7),false,yorikiri,10,J8e,Tochinonada,1-0 (3-12),true
2012.01,1,864,J7e,Bushuyama,0-1 (7-8),false,oshidashi,9079,J7w,Kotoyuki,1-0 (9-6),true
2012.01,1,9079,J7w,Kotoyuki,1-0 (9-6),true,oshidashi,864,J7e,Bushuyama,0-1 (7-8),false
2012.01,1,875,J6w,Takamisakari,1-0 (7-8),true,uwatedashinage,11726,J6e,Tokushoryu,0-1 (2-13),false
2012.01,1,11726,J6e,Tokushoryu,0-1 (2-13),false,uwatedashinage,875,J6w,Takamisakari,1-0 (7-8),true
2012.01,1,1141,J5e,Shotenro,1-0 (8-7),true,oshidashi,6010,J5w,Kimurayama,0-1 (5-10),false
2012.01,1,6010,J5w,Kimurayama,0-1 (5-10),false,oshidashi,1141,J5e,Shotenro,1-0 (8-7),true
2012.01,1,1134,J4w,Tsurugidake,1-0 (6-9),true,oshidashi,1187,J4e,Kokkai,0-1 (7-8),false
2012.01,1,1187,J4e,Kokkai,0-1 (7-8),false,oshidashi,1134,J4w,Tsurugidake,1-0 (6-9),true
2012.01,1,6491,J3e,Ikioi,1-0 (10-5),true,uwatenage,6654,J3w,Masunoyama,0-1 (6-9),false
2012.01,1,6654,J3w,Masunoyama,0-1 (6-9),false,uwatenage,6491,J3e,Ikioi,1-0 (10-5),true
2012.01,1,39,J2w,Wakanosato,0-1 (11-4),false,uwatedashinage,11728,J2e,Takarafuji,1-0 (10-5),true
2012.01,1,11728,J2e,Takarafuji,1-0 (10-5),true,uwatedashinage,39,J2w,Wakanosato,0-1 (11-4),false
2012.01,1,1032,J1w,Hochiyama,1-0 (8-7),true,oshidashi,5944,J1e,Tamawashi,0-1 (9-6),false
2012.01,1,5944,J1e,Tamawashi,0-1 (9-6),false,oshidashi,1032,J1w,Hochiyama,1-0 (8-7),true
2012.01,1,1266,M16w,Nionoumi,1-0 (5-10),true,tsukiotoshi,6753,M16e,Kaisei,0-1 (5-10),false
2012.01,1,6753,M16e,Kaisei,0-1 (5-10),false,tsukiotoshi,1266,M16w,Nionoumi,1-0 (5-10),true
2012.01,1,1009,M15e,Asasekiryu,1-0 (9-6),true,hatakikomi,7239,M15w,Kyokushuho,0-1 (3-12),false
2012.01,1,7239,M15w,Kyokushuho,0-1 (3-12),false,hatakikomi,1009,M15e,Asasekiryu,1-0 (9-6),true
2012.01,1,1215,M14e,Takanoyama,0-1 (6-9),false,tsukidashi,6034,M14w,Sagatsukasa,1-0 (5-10),true
2012.01,1,6034,M14w,Sagatsukasa,1-0 (5-10),true,tsukidashi,1215,M14e,Takanoyama,0-1 (6-9),false
2012.01,1,6642,M13e,Chiyonokuni,1-0 (9-5-1),true,yoritaoshi,6770,M13w,Tenkaiho,0-1 (8-7),false
2012.01,1,6770,M13w,Tenkaiho,0-1 (8-7),false,yoritaoshi,6642,M13e,Chiyonokuni,1-0 (9-5-1),true
2012.01,1,296,M12e,Yoshiazuma,1-0 (3-12),true,yorikiri,7115,M12w,Tosayutaka,0-1 (4-11),false
2012.01,1,7115,M12w,Tosayutaka,0-1 (4-11),false,yorikiri,296,M12e,Yoshiazuma,1-0 (3-12),true
2012.01,1,2842,M11w,Sadanofuji,0-1 (8-7),false,yorikiri,2851,M11e,Fujiazuma,1-0 (7-8),true
2012.01,1,2851,M11e,Fujiazuma,1-0 (7-8),true,yorikiri,2842,M11w,Sadanofuji,0-1 (8-7),false
2012.01,1,2818,M10e,Tokitenku,1-0 (11-4),true,uchimuso,6572,M10w,Gagamaru,0-1 (12-3),false
2012.01,1,6572,M10w,Gagamaru,0-1 (12-3),false,uchimuso,2818,M10e,Tokitenku,1-0 (11-4),true
2012.01,1,6497,M9w,Daido,0-1 (6-9),false,shitatenage,6599,M9e,Tochinoshin,1-0 (10-5),true
2012.01,1,6599,M9e,Tochinoshin,1-0 (10-5),true,shitatenage,6497,M9w,Daido,0-1 (6-9),false
2012.01,1,6473,M8w,Tochiozan,0-1 (11-4),false,oshidashi,6614,M8e,Shohozan,1-0 (8-7),true
2012.01,1,6614,M8e,Shohozan,1-0 (8-7),true,oshidashi,6473,M8w,Tochiozan,0-1 (11-4),false
2012.01,1,6771,M7e,Aran,1-0 (8-7),true,yorikiri,11786,M7w,Aoiyama,0-1 (6-9),false
2012.01,1,11786,M7w,Aoiyama,0-1 (6-9),false,yorikiri,6771,M7e,Aran,1-0 (8-7),true
2012.01,1,41,M6w,Kyokutenho,0-1 (9-6),false,yorikiri,6467,M5w,Toyohibiki,1-0 (7-8),true
2012.01,1,6467,M5w,Toyohibiki,1-0 (7-8),true,yorikiri,41,M6w,Kyokutenho,0-1 (9-6),false
2012.01,1,5967,M6e,Yoshikaze,1-0 (9-6),true,hikiotoshi,11784,M5e,Myogiryu,0-1 (9-6),false
2012.01,1,11784,M5e,Myogiryu,0-1 (9-6),false,hikiotoshi,5967,M6e,Yoshikaze,1-0 (9-6),true
2012.01,1,6018,M4e,Homasho,1-0 (7-8),true,tsukiotoshi,6767,M4w,Tochinowaka,0-1 (8-7),false
