basho,day,rikishi1_id,rikishi1_rank,rikishi1_shikona,rikishi1_result,rikishi1_win,kimarite,rikishi2_id,rikishi2_rank,rikishi2_shikona,rikishi2_result,rikishi2_win
1995.01,1,144,J13w,Ryudo,0-1 (10-5),false,shitatenage,177,J13e,Mutetsuyama,1-0 (4-11),true
1995.01,1,177,J13e,Mutetsuyama,1-0 (4-11),true,shitatenage,144,J13w,Ryudo,0-1 (10-5),false
1995.01,1,66,J12e,Wakahayato,0-1 (4-11),false,yoritaoshi,157,J12w,Tomoefuji,1-0 (11-4),true
1995.01,1,157,J12w,Tomoefuji,1-0 (11-4),true,yoritaoshi,66,J12e,Wakahayato,0-1 (4-11),false
1995.01,1,67,J11w,Tochinofuji,1-0 (8-7),true,hikiotoshi,1303,J11e,Kotofuji,0-1 (8-7),false
1995.01,1,1303,J11e,Kotofuji,0-1 (8-7),false,hikiotoshi,67,J11w,Tochinofuji,1-0 (8-7),true
1995.01,1,134,J10e,Tsurunofuji,1-0 (8-7),true,oshidashi,1309,J10w,Tamakairiki,0-1 (2-13),false
1995.01,1,1309,J10w,Tamakairiki,0-1 (2-13),false,oshidashi,134,J10e,Tsurunofuji,1-0 (8-7),true
1995.01,1,138,J9e,Sentoryu,0-1 (6-9),false,tsukiotoshi,1297,J9w,Dairyu,1-0 (8-7),true
1995.01,1,1297,J9w,Dairyu,1-0 (8-7),true,tsukiotoshi,138,J9e,Sentoryu,0-1 (6-9),false
1995.01,1,174,J8w,Mutsuhokkai,1-0 (8-7),true,uwatenage,1289,J8e,Rikio,0-1 (8-7),false
1995.01,1,1289,J8e,Rikio,0-1 (8-7),false,uwatenage,174,J8w,Mutsuhokkai,1-0 (8-7),true
1995.01,1,60,J7e,Toyonoumi,1-0 (8-7),true,yorikiri,1310,J7w,Kirinishiki,0-1 (4-11),false
1995.01,1,1310,J7w,Kirinishiki,0-1 (4-11),false,yorikiri,60,J7e,Toyonoumi,1-0 (8-7),true
1995.01,1,13,J6e,Tosanoumi,1-0 (11-4),true,oshidashi,1307,J6w,Daishoyama,0-1 (6-9),false
1995.01,1,1307,J6w,Daishoyama,0-1 (6-9),false,oshidashi,13,J6e,Tosanoumi,1-0 (11-4),true
1995.01,1,87,J5e,Wakanoyama,0-1 (6-9),false,hatakikomi,91,J5w,Hoshiandesu,1-0 (8-7),true
1995.01,1,91,J5w,Hoshiandesu,1-0 (8-7),true,hatakikomi,87,J5e,Wakanoyama,0-1 (6-9),false
1995.01,1,11,J4e,Aogiyama,0-1 (8-7),false,yorikiri,20,J4w,Shikishima,1-0 (9-6),true
1995.01,1,20,J4w,Shikishima,1-0 (9-6),true,yorikiri,11,J4e,Aogiyama,0-1 (8-7),false
1995.01,1,48,J3e,Oginohana,0-1 (10-5),false,sukuinage,1306,J3w,Hitachiryu,1-0 (7-8),true
1995.01,1,1306,J3w,Hitachiryu,1-0 (7-8),true,sukuinage,48,J3e,Oginohana,0-1 (10-5),false
1995.01,1,21,J2e,Asahiyutaka,1-0 (11-4),true,yorikiri,73,J2w,Kanechika,0-1 (6-9),false
1995.01,1,73,J2w,Kanechika,0-1 (6-9),false,yorikiri,21,J2e,Asahiyutaka,1-0 (11-4),true
1995.01,1,36,J1e,Asanosho,1-0 (8-7),true,uwatenage,1305,J1w,Kyokugozan,0-1 (6-9),false
1995.01,1,1305,J1w,Kyokugozan,0-1 (6-9),false,uwatenage,36,J1e,Asanosho,1-0 (8-7),true
1995.01,1,1292,M16e,Kotogaume,0-1 (5-10),false,hatakikomi,1302,M15w,Takamisugi,1-0 (8-7),true
