basho,day,rikishi1_id,rikishi1_rank,rikishi1_shikona,rikishi1_result,rikishi1_win,kimarite,rikishi2_id,rikishi2_rank,rikishi2_shikona,rikishi2_result,rikishi2_win
2006.01,1,924,J14e,Wakakirin,0-1 (4-11),false,oshidashi,2847,J14w,Masatsukasa,1-0 (6-9),true
2006.01,1,2847,J14w,Masatsukasa,1-0 (6-9),true,oshidashi,924,J14e,Wakakirin,0-1 (4-11),false
2006.01,1,5985,J13w,Satoyama,1-0 (9-6),true,oshidashi,5988,J13e,Kanbayashi,0-1 (4-11),false
2006.01,1,5988,J13e,Kanbayashi,0-1 (4-11),false,oshidashi,5985,J13w,Satoyama,1-0 (9-6),true
2006.01,1,206,J12w,Kotokasuga,0-1 (5-10),false,yorikiri,6018,J12e,Homasho,1-0 (10-5),true
2006.01,1,6018,J12e,Homasho,1-0 (10-5),true,yorikiri,206,J12w,Kotokasuga,0-1 (5-10),false
2006.01,1,222,J11w,Sumanofuji,0-1 (6-9),false,oshidashi,371,J11e,Kyokunankai,1-0 (9-6),true
2006.01,1,371,J11e,Kyokunankai,1-0 (9-6),true,oshidashi,222,J11w,Sumanofuji,0-1 (6-9),false
2006.01,1,145,J10e,Kobo,0-1 (6-9),false,yorikiri,1136,J10w,Mokonami,1-0 (11-4),true
2006.01,1,1136,J10w,Mokonami,1-0 (11-4),true,yorikiri,145,J10e,Kobo,0-1 (6-9),false
2006.01,1,795,J9w,Tamaasuka,0-1 (0-3-12),false,sukuinage,1018,J9e,Shimotori,1-0 (7-8),true
2006.01,1,1018,J9e,Shimotori,1-0 (7-8),true,sukuinage,795,J9w,Tamaasuka,0-1 (0-3-12),false
2006.01,1,92,J8w,Harunoyama,0-1 (7-8),false,hatakikomi,204,J8e,Ryuho,1-0 (11-4),true
2006.01,1,204,J8e,Ryuho,1-0 (11-4),true,hatakikomi,92,J8w,Harunoyama,0-1 (7-8),false
2006.01,1,40,J7w,Kaiho,1-0 (7-8),true,sukuinage,225,J7e,Takanotsuru,0-1 (6-9),false
2006.01,1,225,J7e,Takanotsuru,0-1 (6-9),false,sukuinage,40,J7w,Kaiho,1-0 (7-8),true
2006.01,1,17,J6e,Tamakasuga,1-0 (12-3),true,hatakikomi,105,J6w,Buyuzan,0-1 (10-5),false
2006.01,1,105,J6w,Buyuzan,0-1 (10-5),false,hatakikomi,17,J6e,Tamakasuga,1-0 (12-3),true
2006.01,1,71,J5e,Takanowaka,0-1 (6-9),false,katasukashi,113,J5w,Asofuji,1-0 (8-7),true
2006.01,1,113,J5w,Asofuji,1-0 (8-7),true,katasukashi,71,J5e,Takanowaka,0-1 (6-9),false
2006.01,1,63,J4w,Otsukasa,1-0 (10-5),true,yorikiri,163,J3w,Senshuyama,0-1 (3-12),false
2006.01,1,163,J3w,Senshuyama,0-1 (3-12),false,yorikiri,63,J4w,Otsukasa,1-0 (10-5),true
2006.01,1,38,J3e,Toki,0-1 (4-5-6),false,fusen,122,J4e,Daimanazuru,1-0 (8-7),true
2006.01,1,122,J4e,Daimanazuru,1-0 (8-7),true,fusen,38,J3e,Toki,0-1 (4-5-6),false
2006.01,1,175,J2w,Ushiomaru,0-1 (9-6),false,tsukiotoshi,300,J2e,Dairaido,1-0 (7-8),true
2006.01,1,300,J2e,Dairaido,1-0 (7-8),true,tsukiotoshi,175,J2w,Ushiomaru,0-1 (9-6),false
2006.01,1,10,J1e,Tochinonada,1-0 (13-2),true,yorikiri,784,J1w,Daishodai,0-1 (4-11),false
2006.01,1,784,J1w,Daishodai,0-1 (4-11),false,yorikiri,10,J1e,Tochinonada,1-0 (13-2),true
2006.01,1,70,M17e,Kitazakura,1-0 (9-6),true,yorikiri,1243,M16w,Katayama,0-1 (6-9),false
2006.01,1,1243,M16w,Katayama,0-1 (6-9),false,yorikiri,70,M17e,Kitazakura,1-0 (9-6),true
2006.01,1,39,M16e,Wakanosato,1-0 (10-5),true,oshitaoshi,287,M15w,Wakatoba,0-1 (4-11),false
2006.01,1,287,M15w,Wakatoba,0-1 (4-11),false,oshitaoshi,39,M16e,Wakanosato,1-0 (10-5),true
2006.01,1,50,M14w,Tokitsuumi,1-0 (12-3),true,yorikiri,99,M15e,Shunketsu,0-1 (4-11),false
2006.01,1,99,M15e,Shunketsu,0-1 (4-11),false,yorikiri,50,M14w,Tokitsuumi,1-0 (12-3),true
2006.01,1,13,M14e,Tosanoumi,1-0 (5-10),true,oshidashi,5967,M13w,Yoshikaze,0-1 (5-10),false
2006.01,1,5967,M13w,Yoshikaze,0-1 (5-10),false,oshidashi,13,M14e,Tosanoumi,1-0 (5-10),true
2006.01,1,72,M13e,Tochisakae,1-0 (4-10-1),true,oshidashi,78,M12w,Toyozakura,0-1 (7-8),false
