basho,day,rikishi1_id,rikishi1_rank,rikishi1_shikona,rikishi1_result,rikishi1_win,kimarite,rikishi2_id,rikishi2_rank,rikishi2_shikona,rikishi2_result,rikishi2_win
1985.01,1,4118,J13e,Amanoyama,0-1 (5-10),false,katasukashi,4330,J13w,Wakatsukuba,1-0 (5-10),true
1985.01,1,4330,J13w,Wakatsukuba,1-0 (5-10),true,katasukashi,4118,J13e,Amanoyama,0-1 (5-10),false
1985.01,1,1345,J12e,Tamaryu,1-0 (9-6),true,hatakikomi,4139,J12w,Koryu,0-1 (7-8),false
1985.01,1,4139,J12w,Koryu,0-1 (7-8),false,hatakikomi,1345,J12e,Tamaryu,1-0 (9-6),true
1985.01,1,1367,J11w,Fujihikari,1-0 (7-8),true,uwatenage,4117,J11e,Misugiiso,0-1 (8-7),false
1985.01,1,4117,J11e,Misugiiso,0-1 (8-7),false,uwatenage,1367,J11w,Fujihikari,1-0 (7-8),true
1985.01,1,1417,J10w,Ichinowatari,0-1 (8-7),false,yoritaoshi,4311,J10e,Hakuryu,1-0 (8-7),true
1985.01,1,4311,J10e,Hakuryu,1-0 (8-7),true,yoritaoshi,1417,J10w,Ichinowatari,0-1 (8-7),false
1985.01,1,4133,J8w,Takarakuni,1-0 (7-8),true,hikiotoshi,4140,J9e,Chikubayama,0-1 (4-5-6),false
1985.01,1,4140,J9e,Chikubayama,0-1 (4-5-6),false,hikiotoshi,4133,J8w,Takarakuni,1-0 (7-8),true
1985.01,1,33,J7w,Terao,1-0 (12-3),true,tsukitaoshi,4134,J8e,Oyutaka,0-1 (6-9),false
1985.01,1,4134,J8e,Oyutaka,0-1 (6-9),false,tsukitaoshi,33,J7w,Terao,1-0 (12-3),true
1985.01,1,4091,J7e,Washuyama,1-0 (6-9),true,oshidashi,4124,J6w,Shishiho,0-1 (8-7),false
1985.01,1,4124,J6w,Shishiho,0-1 (8-7),false,oshidashi,4091,J7e,Washuyama,1-0 (6-9),true
1985.01,1,1333,J5w,Sasshunada,1-0 (9-6),true,oshidashi,1334,J6e,Wakasegawa,0-1 (7-8),false
1985.01,1,1334,J6e,Wakasegawa,0-1 (7-8),false,oshidashi,1333,J5w,Sasshunada,1-0 (9-6),true
1985.01,1,1337,J4w,Tochitsukasa,0-1 (8-7),false,tsukiotoshi,4128,J5e,Kotochitose,1-0 (6-9),true
1985.01,1,4128,J5e,Kotochitose,1-0 (6-9),true,tsukiotoshi,1337,J4w,Tochitsukasa,0-1 (8-7),false
1985.01,1,4078,J3w,Oshio,0-1 (5-10),false,tsukidashi,4138,J4e,Tochimatoi,1-0 (9-6),true
1985.01,1,4138,J4e,Tochimatoi,1-0 (9-6),true,tsukidashi,4078,J3w,Oshio,0-1 (5-10),false
1985.01,1,1292,J3e,Kotogaume,0-1 (11-4),false,yorikiri,1372,J2w,Maenoshin,1-0 (6-9),true
1985.01,1,1372,J2w,Maenoshin,1-0 (6-9),true,yorikiri,1292,J3e,Kotogaume,0-1 (11-4),false
1985.01,1,1385,J2e,Tochiakagi,0-1 (5-10),false,kirikaeshi,4137,J1w,Hattori,1-0 (9-6),true
1985.01,1,4137,J1w,Hattori,1-0 (9-6),true,kirikaeshi,1385,J2e,Tochiakagi,0-1 (5-10),false
1985.01,1,1376,J1e,Hananoumi,0-1 (9-6),false,uwatenage,4100,M13w,Tochihikari,1-0 (2-13),true
1985.01,1,4100,M13w,Tochihikari,1-0 (2-13),true,uwatenage,1376,J1e,Hananoumi,0-1 (9-6),false
1985.01,1,1380,M13e,Hidanohana,1-0 (8-7),true,hatakikomi,4131,M12e,Tochitsurugi,0-1 (9-6),false
1985.01,1,4131,M12e,Tochitsurugi,0-1 (9-6),false,hatakikomi,1380,M13e,Hidanohana,1-0 (8-7),true
1985.01,1,4094,M12w,Onishiki,1-0 (8-7),true,abisetaoshi,4130,M11w,Hachiya,0-1 (5-10),false
1985.01,1,4130,M11w,Hachiya,0-1 (5-10),false,abisetaoshi,4094,M12w,Onishiki,1-0 (8-7),true
1985.01,1,1302,M11e,Takamisugi,1-0 (8-7),true,oshidashi,1375,M10w,Masudayama,0-1 (8-7),false
1985.01,1,1375,M10w,Masudayama,0-1 (8-7),false,oshidashi,1302,M11e,Takamisugi,1-0 (8-7),true
1985.01,1,28,M10e,Mitoizumi,0-1 (11-4),false,tsukiotoshi,4116,M9w,Dewanohana,1-0 (11-4),true
1985.01,1,4116,M9w,Dewanohana,1-0 (11-4),true,tsukiotoshi,28,M10e,Mitoizumi,0-1 (11-4),false
