basho,day,rikishi1_id,rikishi1_rank,rikishi1_shikona,rikishi1_result,rikishi1_win,kimarite,rikishi2_id,rikishi2_rank,rikishi2_shikona,rikishi2_result,rikishi2_win
2004.01,1,149,J14w,Juzan,1-0 (9-6),true,yorikiri,216,Ms1e,Raiko,0-1 (2-5),false
2004.01,1,216,Ms1e,Raiko,0-1 (2-5),false,yorikiri,149,J14w,Juzan,1-0 (9-6),true
2004.01,1,15,J13w,Oginishiki,0-1 (4-9),false,oshitaoshi,222,J14e,Sumanofuji,1-0 (8-7),true
2004.01,1,222,J14e,Sumanofuji,1-0 (8-7),true,oshitaoshi,15,J13w,Oginishiki,0-1 (4-9),false
2004.01,1,103,J12w,Tochifudo,0-1 (5-10),false,shitatedashinage,874,J13e,Hamanishiki,1-0 (8-7),true
2004.01,1,874,J13e,Hamanishiki,1-0 (8-7),true,shitatedashinage,103,J12w,Tochifudo,0-1 (5-10),false
2004.01,1,864,J11w,Bushuyama,0-1 (7-8),false,yorikiri,1123,J12e,Hakuho,1-0 (9-6),true
2004.01,1,1123,J12e,Hakuho,1-0 (9-6),true,yorikiri,864,J11w,Bushuyama,0-1 (7-8),false
2004.01,1,116,J11e,Nakao,1-0 (9-6),true,oshidashi,122,J10w,Daimanazuru,0-1 (6-9),false
2004.01,1,122,J10w,Daimanazuru,0-1 (6-9),false,oshidashi,116,J11e,Nakao,1-0 (9-6),true
2004.01,1,68,J10e,Gokenzan,0-1 (4-11),false,okuridashi,1421,J9w,Roho,1-0 (11-4),true
2004.01,1,1421,J9w,Roho,1-0 (11-4),true,okuridashi,68,J10e,Gokenzan,0-1 (4-11),false
2004.01,1,56,J9e,Masutsuyoshi,1-0 (5-10),true,tsukiotoshi,226,J8w,Wakatenro,0-1 (0-4-11),false
2004.01,1,226,J8w,Wakatenro,0-1 (0-4-11),false,tsukiotoshi,56,J9e,Masutsuyoshi,1-0 (5-10),true
2004.01,1,87,J6w,Wakanoyama,1-0 (11-4),true,yorikiri,130,J8e,Kaido,0-1 (8-7),false
2004.01,1,130,J8e,Kaido,0-1 (8-7),false,yorikiri,87,J6w,Wakanoyama,1-0 (11-4),true
2004.01,1,69,J5w,Towanoyama,1-0 (7-8),true,hatakikomi,97,J6e,Tochinohana,0-1 (1-8-6),false
2004.01,1,97,J6e,Tochinohana,0-1 (1-8-6),false,hatakikomi,69,J5w,Towanoyama,1-0 (7-8),true
2004.01,1,225,J5e,Takanotsuru,1-0 (6-9),true,katasukashi,2834,J4w,Futeno,0-1 (10-5),false
2004.01,1,2834,J4w,Futeno,0-1 (10-5),false,katasukashi,225,J5e,Takanotsuru,1-0 (6-9),true
2004.01,1,47,J3w,Chiyotenzan,1-0 (11-4),true,tsukiotoshi,58,J4e,Oikari,0-1 (9-6),false
2004.01,1,58,J4e,Oikari,0-1 (9-6),false,tsukiotoshi,47,J3w,Chiyotenzan,1-0 (11-4),true
2004.01,1,92,J3e,Harunoyama,1-0 (10-5),true,yorikiri,865,J2w,Kasugao,0-1 (5-10),false
2004.01,1,865,J2w,Kasugao,0-1 (5-10),false,yorikiri,92,J3e,Harunoyama,1-0 (10-5),true
2004.01,1,63,J2e,Otsukasa,1-0 (8-7),true,yoritaoshi,145,J1w,Kobo,0-1 (7-8),false
2004.01,1,145,J1w,Kobo,0-1 (7-8),false,yoritaoshi,63,J2e,Otsukasa,1-0 (8-7),true
2004.01,1,78,J1e,Toyozakura,0-1 (8-7),false,tsukite,129,M17e,Hayateumi,1-0 (7-8),true
2004.01,1,129,M17e,Hayateumi,1-0 (7-8),true,tsukite,78,J1e,Toyozakura,0-1 (8-7),false
