basho,day,rikishi1_id,rikishi1_rank,rikishi1_shikona,rikishi1_result,rikishi1_win,kimarite,rikishi2_id,rikishi2_rank,rikishi2_shikona,rikishi2_result,rikishi2_win
1983.01,1,4140,J13w,Chikubayama,0-1 (7-8),false,yorikiri,4306,Ms1e,Ofuji,1-0 (6-1),true
1983.01,1,4306,Ms1e,Ofuji,1-0 (6-1),true,yorikiri,4140,J13w,Chikubayama,0-1 (7-8),false
1983.01,1,1337,J12w,Tochitsukasa,1-0 (9-6),true,oshidashi,4323,J13e,Shiraiwa,0-1 (3-12),false
1983.01,1,4323,J13e,Shiraiwa,0-1 (3-12),false,oshidashi,1337,J12w,Tochitsukasa,1-0 (9-6),true
1983.01,1,4097,J12e,Tamakiyama,0-1 (8-7),false,yorikiri,4319,J11w,Harunafuji,1-0 (5-10),true
1983.01,1,4319,J11w,Harunafuji,1-0 (5-10),true,yorikiri,4097,J12e,Tamakiyama,0-1 (8-7),false
1983.01,1,4109,J10w,Kotogatake,0-1 (7-8),false,tsukidashi,4129,J11e,Hakuryuyama,1-0 (3-12),true
1983.01,1,4129,J11e,Hakuryuyama,1-0 (3-12),true,tsukidashi,4109,J10w,Kotogatake,0-1 (7-8),false
1983.01,1,4111,J10e,Zaonishiki,0-1 (4-11),false,hatakikomi,4130,J9w,Hachiya,1-0 (8-7),true
1983.01,1,4130,J9w,Hachiya,1-0 (8-7),true,hatakikomi,4111,J10e,Zaonishiki,0-1 (4-11),false
1983.01,1,1302,J9e,Takamisugi,1-0 (5-10),true,oshidashi,4318,J8w,Tengoyama,0-1 (7-8),false
1983.01,1,4318,J8w,Tengoyama,0-1 (7-8),false,oshidashi,1302,J9e,Takamisugi,1-0 (5-10),true
1983.01,1,1361,J8e,Daitetsu,0-1 (9-6),false,yoritaoshi,4316,J7w,Kakureizan,1-0 (9-6),true
1983.01,1,4316,J7w,Kakureizan,1-0 (9-6),true,yoritaoshi,1361,J8e,Daitetsu,0-1 (9-6),false
1983.01,1,1385,J6w,Tochiakagi,1-0 (8-7),true,yorikiri,4125,J7e,Shinko,0-1 (8-7),false
1983.01,1,4125,J7e,Shinko,0-1 (8-7),false,yorikiri,1385,J6w,Tochiakagi,1-0 (8-7),true
