basho,day,rikishi1_id,rikishi1_rank,rikishi1_shikona,rikishi1_result,rikishi1_win,kimarite,rikishi2_id,rikishi2_rank,rikishi2_shikona,rikishi2_result,rikishi2_win
1998.01,1,43,J13w,Kinkaiyama,1-0 (12-3),true,yoritaoshi,54,Ms1e,Ohinode,0-1 (4-3),false
1998.01,1,54,Ms1e,Ohinode,0-1 (4-3),false,yoritaoshi,43,J13w,Kinkaiyama,1-0 (12-3),true
1998.01,1,61,J12w,Hokutohikari,0-1 (8-7),false,tsukiotoshi,96,J13e,Kaigatake,1-0 (5-10),true
1998.01,1,96,J13e,Kaigatake,1-0 (5-10),true,tsukiotoshi,61,J12w,Hokutohikari,0-1 (8-7),false
1998.01,1,66,J12e,Wakahayato,1-0 (9-6),true,uwatenage,75,J11w,Daihisho,0-1 (8-7),false
1998.01,1,75,J11w,Daihisho,0-1 (8-7),false,uwatenage,66,J12e,Wakahayato,1-0 (9-6),true
1998.01,1,63,J11e,Otsukasa,1-0 (6-9),true,hikiotoshi,73,J10w,Kanechika,0-1 (7-8),false
1998.01,1,73,J10w,Kanechika,0-1 (7-8),false,hikiotoshi,63,J11e,Otsukasa,1-0 (6-9),true
1998.01,1,38,J9w,Toki,1-0 (10-5),true,oshitaoshi,83,J10e,Arashi,0-1 (3-12),false
1998.01,1,83,J10e,Arashi,0-1 (3-12),false,oshitaoshi,38,J9w,Toki,1-0 (10-5),true
1998.01,1,45,J9e,Daishoho,1-0 (8-7),true,yorikiri,48,J8w,Oginohana,0-1 (9-6),false
1998.01,1,48,J8w,Oginohana,0-1 (9-6),false,yorikiri,45,J9e,Daishoho,1-0 (8-7),true
1998.01,1,46,J7w,Dewaarashi,1-0 (8-7),true,uwatenage,47,J8e,Chiyotenzan,0-1 (8-7),false
1998.01,1,47,J8e,Chiyotenzan,0-1 (8-7),false,uwatenage,46,J7w,Dewaarashi,1-0 (8-7),true
1998.01,1,44,J6w,Kushimaumi,1-0 (7-8),true,oshitaoshi,52,J7e,Tomonohana,0-1 (6-9),false
1998.01,1,52,J7e,Tomonohana,0-1 (6-9),false,oshitaoshi,44,J6w,Kushimaumi,1-0 (7-8),true
1998.01,1,39,J5w,Wakanosato,1-0 (11-4),true,oshidashi,55,J6e,Zenshinyama,0-1 (8-7),false
1998.01,1,55,J6e,Zenshinyama,0-1 (8-7),false,oshidashi,39,J5w,Wakanosato,1-0 (11-4),true
1998.01,1,51,J5e,Daizen,0-1 (8-7),false,oshidashi,1285,J4w,Asahisato,1-0 (5-10),true
1998.01,1,1285,J4w,Asahisato,1-0 (5-10),true,oshidashi,51,J5e,Daizen,0-1 (8-7),false
1998.01,1,60,J3w,Toyonoumi,0-1 (5-10),false,yorikiri,62,J4e,Daishi,1-0 (6-9),true
1998.01,1,62,J4e,Daishi,1-0 (6-9),true,yorikiri,60,J3w,Toyonoumi,0-1 (5-10),false
1998.01,1,40,J3e,Kaiho,0-1 (9-6),false,okuritaoshi,50,J2w,Tokitsuumi,1-0 (4-11),true
1998.01,1,50,J2w,Tokitsuumi,1-0 (4-11),true,okuritaoshi,40,J3e,Kaiho,0-1 (9-6),false
1998.01,1,49,J1w,Misugisato,0-1 (7-8),false,oshidashi,59,J2e,Susanoumi,1-0 (5-10),true
1998.01,1,59,J2e,Susanoumi,1-0 (5-10),true,oshidashi,49,J1w,Misugisato,0-1 (7-8),false
1998.01,1,22,M16e,Gojoro,1-0 (9-6),true,tsukiotoshi,53,J1e,Tokitsunada,0-1 (6-9),false
1998.01,1,53,J1e,Tokitsunada,0-1 (6-9),false,tsukiotoshi,22,M16e,Gojoro,1-0 (9-6),true
1998.01,1,36,M15e,Asanosho,0-1 (9-6),false,uwatenage,41,M15w,Kyokutenho,1-0 (9-6),true
1998.01,1,41,M15w,Kyokutenho,1-0 (9-6),true,uwatenage,36,M15e,Asanosho,0-1 (9-6),false
1998.01,1,42,M14w,Mainoumi,0-1 (9-6),false,hatakikomi,57,M14e,Yamato,1-0 (7-8),true
1998.01,1,57,M14e,Yamato,1-0 (7-8),true,hatakikomi,42,M14w,Mainoumi,0-1 (9-6),false
1998.01,1,27,M13e,Wakanojo,1-0 (9-6),true,okuridashi,33,M13w,Terao,0-1 (9-6),false
1998.01,1,33,M13w,Terao,0-1 (9-6),false,okuridashi,27,M13e,Wakanojo,1-0 (9-6),true
1998.01,1,23,M12w,Tochinowaka,1-0 (9-6),true,uwatenage,37,M11w,Kotoinazuma,0-1 (8-7),false
1998.01,1,37,M11w,Kotoinazuma,0-1 (8-7),false,uwatenage,23,M12w,Tochinowaka,1-0 (9-6),true
1998.01,1,29,M11e,Kotoryu,0-1 (9-6),false,oshidashi,34,M12e,Asanowaka,1-0 (7-8),true
1998.01,1,34,M12e,Asanowaka,1-0 (7-8),true,oshidashi,29,M11e,Kotoryu,0-1 (9-6),false
1998.01,1,28,M10e,Mitoizumi,1-0 (6-9),true,yoritaoshi,30,M10w,Kitakachidoki,0-1 (7-8),false
1998.01,1,30,M10w,Kitakachidoki,0-1 (7-8),false,yoritaoshi,28,M10e,Mitoizumi,1-0 (6-9),true
1998.01,1,24,M9e,Ganyu,0-1 (8-7),false,yorikiri,32,M9w,Akinoshu,1-0 (5-10),true
1998.01,1,32,M9w,Akinoshu,1-0 (5-10),true,yorikiri,24,M9e,Ganyu,0-1 (8-7),false
1998.01,1,8,M8e,Chiyotaikai,0-1 (9-6),false,hatakikomi,26,M8w,Higonoumi,1-0 (5-10),true
1998.01,1,26,M8w,Higonoumi,1-0 (5-10),true,hatakikomi,8,M8e,Chiyotaikai,0-1 (9-6),false
1998.01,1,20,M7e,Shikishima,1-0 (8-7),true,yorikiri,25,M7w,Hamanoshima,0-1 (5-10),false
1998.01,1,25,M7w,Hamanoshima,0-1 (5-10),false,yorikiri,20,M7e,Shikishima,1-0 (8-7),true
1998.01,1,11,M5w,Aogiyama,1-0 (6-9),true,oshidashi,16,M6e,Minatofuji,0-1 (6-9),false
1998.01,1,16,M6e,Minatofuji,0-1 (6-9),false,oshidashi,11,M5w,Aogiyama,1-0 (6-9),true
1998.01,1,14,M3w,Kotonowaka,1-0 (7-8),true,uwatenage,35,M4e,Kyokushuzan,0-1 (5-10),false
1998.01,1,35,M4e,Kyokushuzan,0-1 (5-10),false,uwatenage,14,M3w,Kotonowaka,1-0 (7-8),true
1998.01,1,10,M2w,Tochinonada,1-0 (7-8),true,hatakikomi,13,M3e,Tosanoumi,0-1 (5-10),false
1998.01,1,13,M3e,Tosanoumi,0-1 (5-10),false,hatakikomi,10,M2w,Tochinonada,1-0 (7-8),true
1998.01,1,9,M1w,Akinoshima,0-1 (6-9),false,oshidashi,19,S1w,Tochiazuma,1-0 (11-4),true
1998.01,1,19,S1w,Tochiazuma,1-0 (11-4),true,oshidashi,9,M1w,Akinoshima,0-1 (6-9),false
1998.01,1,6,S1e,Musoyama,1-0 (10-5),true,oshidashi,18,M1e,Takatoriki,0-1 (5-10),false
1998.01,1,18,M1e,Takatoriki,0-1 (5-10),false,oshidashi,6,S1e,Musoyama,1-0 (10-5),true
1998.01,1,3,O2e,Wakanohana,0-1 (10-5),false,oshidashi,17,M6w,Tamakasuga,1-0 (6-9),true
1998.01,1,17,M6w,Tamakasuga,1-0 (6-9),true,oshidashi,3,O2e,Wakanohana,0-1 (10-5),false
1998.01,1,4,O1w,Musashimaru,1-0 (12-3),true,oshidashi,15,M5e,Oginishiki,0-1 (5-10),false
1998.01,1,15,M5e,Oginishiki,0-1 (5-10),false,oshidashi,4,O1w,Musashimaru,1-0 (12-3),true
1998.01,1,5,O1e,Takanonami,1-0 (10-5),true,uwatenage,12,K1w,Kotonishiki,0-1 (10-5),false
1998.01,1,12,K1w,Kotonishiki,0-1 (10-5),false,uwatenage,5,O1e,Takanonami,1-0 (10-5),true
1998.01,1,1,Y1w,Akebono,0-1 (10-5),false,shitatedashinage,21,M4w,Asahiyutaka,1-0 (3-12),true
1998.01,1,21,M4w,Asahiyutaka,1-0 (3-12),true,shitatedashinage,1,Y1w,Akebono,0-1 (10-5),false
1998.01,1,2,Y1e,Takanohana,0-1 (8-5-2),false,uwatenage,7,K1e,Kaio,1-0 (8-7),true
1998.01,1,7,K1e,Kaio,1-0 (8-7),true,uwatenage,2,Y1e,Takanohana,0-1 (8-5-2),false
1998.01,2,56,Ms1w,Masutsuyoshi,2-0 (4-3),true,yorikiri,96,J13e,Kaigatake,1-1 (5-10),false
1998.01,2,96,J13e,Kaigatake,1-1 (5-10),false,yorikiri,56,Ms1w,Masutsuyoshi,2-0 (4-3),true
1998.01,2,61,J12w,Hokutohikari,1-1 (8-7),true,oshidashi,63,J11e,Otsukasa,1-1 (6-9),false
1998.01,2,63,J11e,Otsukasa,1-1 (6-9),false,oshidashi,61,J12w,Hokutohikari,1-1 (8-7),true
1998.01,2,43,J13w,Kinkaiyama,2-0 (12-3),true,uwatenage,75,J11w,Daihisho,0-2 (8-7),false
1998.01,2,75,J11w,Daihisho,0-2 (8-7),false,uwatenage,43,J13w,Kinkaiyama,2-0 (12-3),true
1998.01,2,66,J12e,Wakahayato,2-0 (9-6),true,yoritaoshi,83,J10e,Arashi,0-2 (3-12),false
1998.01,2,83,J10e,Arashi,0-2 (3-12),false,yoritaoshi,66,J12e,Wakahayato,2-0 (9-6),true
1998.01,2,47,J8e,Chiyotenzan,1-1 (8-7),true,uwatenage,73,J10w,Kanechika,0-2 (7-8),false
1998.01,2,73,J10w,Kanechika,0-2 (7-8),false,uwatenage,47,J8e,Chiyotenzan,1-1 (8-7),true
1998.01,2,38,J9w,Toki,2-0 (10-5),true,kotenage,52,J7e,Tomonohana,0-2 (6-9),false
1998.01,2,52,J7e,Tomonohana,0-2 (6-9),false,kotenage,38,J9w,Toki,2-0 (10-5),true
1998.01,2,45,J9e,Daishoho,2-0 (8-7),true,okuridashi,46,J7w,Dewaarashi,1-1 (8-7),false
1998.01,2,46,J7w,Dewaarashi,1-1 (8-7),false,okuridashi,45,J9e,Daishoho,2-0 (8-7),true
1998.01,2,48,J8w,Oginohana,0-2 (9-6),false,hikiotoshi,55,J6e,Zenshinyama,1-1 (8-7),true
1998.01,2,55,J6e,Zenshinyama,1-1 (8-7),true,hikiotoshi,48,J8w,Oginohana,0-2 (9-6),false
1998.01,2,44,J6w,Kushimaumi,1-1 (7-8),false,oshidashi,51,J5e,Daizen,1-1 (8-7),true
1998.01,2,51,J5e,Daizen,1-1 (8-7),true,oshidashi,44,J6w,Kushimaumi,1-1 (7-8),false
1998.01,2,39,J5w,Wakanosato,1-1 (11-4),false,oshitaoshi,40,J3e,Kaiho,1-1 (9-6),true
1998.01,2,40,J3e,Kaiho,1-1 (9-6),true,oshitaoshi,39,J5w,Wakanosato,1-1 (11-4),false
1998.01,2,59,J2e,Susanoumi,1-1 (5-10),false,yorikiri,62,J4e,Daishi,2-0 (6-9),true
1998.01,2,62,J4e,Daishi,2-0 (6-9),true,yorikiri,59,J2e,Susanoumi,1-1 (5-10),false
1998.01,2,50,J2w,Tokitsuumi,1-1 (4-11),false,yorikiri,1285,J4w,Asahisato,2-0 (5-10),true
1998.01,2,1285,J4w,Asahisato,2-0 (5-10),true,yorikiri,50,J2w,Tokitsuumi,1-1 (4-11),false
1998.01,2,53,J1e,Tokitsunada,0-2 (6-9),false,yorikiri,60,J3w,Toyonoumi,1-1 (5-10),true
1998.01,2,60,J3w,Toyonoumi,1-1 (5-10),true,yorikiri,53,J1e,Tokitsunada,0-2 (6-9),false
1998.01,2,41,M15w,Kyokutenho,2-0 (9-6),true,yorikiri,49,J1w,Misugisato,0-2 (7-8),false
1998.01,2,49,J1w,Misugisato,0-2 (7-8),false,yorikiri,41,M15w,Kyokutenho,2-0 (9-6),true
1998.01,2,27,M13e,Wakanojo,1-1 (9-6),false,okuridashi,36,M15e,Asanosho,1-1 (9-6),true
1998.01,2,36,M15e,Asanosho,1-1 (9-6),true,okuridashi,27,M13e,Wakanojo,1-1 (9-6),false
1998.01,2,22,M16e,Gojoro,2-0 (9-6),true,oshidashi,33,M13w,Terao,0-2 (9-6),false
1998.01,2,33,M13w,Terao,0-2 (9-6),false,oshidashi,22,M16e,Gojoro,2-0 (9-6),true
1998.01,2,34,M12e,Asanowaka,1-1 (7-8),false,yorikiri,42,M14w,Mainoumi,1-1 (9-6),true
1998.01,2,42,M14w,Mainoumi,1-1 (9-6),true,yorikiri,34,M12e,Asanowaka,1-1 (7-8),false
1998.01,2,23,M12w,Tochinowaka,2-0 (9-6),true,yorikiri,57,M14e,Yamato,1-1 (7-8),false
1998.01,2,57,M14e,Yamato,1-1 (7-8),false,yorikiri,23,M12w,Tochinowaka,2-0 (9-6),true
1998.01,2,24,M9e,Ganyu,0-2 (8-7),false,uwatenage,37,M11w,Kotoinazuma,1-1 (8-7),true
1998.01,2,37,M11w,Kotoinazuma,1-1 (8-7),true,uwatenage,24,M9e,Ganyu,0-2 (8-7),false
1998.01,2,29,M11e,Kotoryu,1-1 (9-6),true,oshidashi,32,M9w,Akinoshu,1-1 (5-10),false
1998.01,2,32,M9w,Akinoshu,1-1 (5-10),false,oshidashi,29,M11e,Kotoryu,1-1 (9-6),true
1998.01,2,8,M8e,Chiyotaikai,0-2 (9-6),false,sukuinage,30,M10w,Kitakachidoki,1-1 (7-8),true
1998.01,2,30,M10w,Kitakachidoki,1-1 (7-8),true,sukuinage,8,M8e,Chiyotaikai,0-2 (9-6),false
1998.01,2,26,M8w,Higonoumi,1-1 (5-10),false,yorikiri,28,M10e,Mitoizumi,2-0 (6-9),true
1998.01,2,28,M10e,Mitoizumi,2-0 (6-9),true,yorikiri,26,M8w,Higonoumi,1-1 (5-10),false
